,loss,accuracy,val_loss,val_accuracy,0
0,16.810190200805664,0.4490979313850403,0.9261928200721741,0.6465408802032471,
1,0.8567195534706116,0.6850837469100952,0.8228487372398376,0.6792452931404114,
2,0.6178239583969116,0.7683634161949158,0.6599441170692444,0.7836477756500244,
3,0.5114776492118835,0.8162049055099487,0.6374384760856628,0.7836477756500244,
4,0.5896799564361572,0.7896263003349304,1.2912356853485107,0.5660377144813538,
5,0.5510285496711731,0.7988079786300659,0.7530362606048584,0.7924528121948242,
6,0.33950743079185486,0.8822486996650696,0.8904483318328857,0.8201257586479187,
7,0.3187306225299835,0.8901417255401611,0.563839316368103,0.8503144383430481,
8,0.2366422861814499,0.9186533689498901,0.8150608539581299,0.8364779949188232,
9,0.21788573265075684,0.9265463948249817,0.8939272165298462,0.8289307951927185,
loss,,,,,0.696208655834198
accuracy,,,,,0.8424479365348816
